"","Aaron","Arão","eb0d",
"","Abaddon","Abadom","ecd7",
"","Abel","Abel","ea96",
"","Abiathar","Abiatar","e35f",
"","abide","permanecer","e17b",
"","Abijah","Abías","ea5b",
"","Abilene","Abilene","ec4d",
"","ability","habilidade","e124",
"","Abiud","Abiúde","ea6a",
"","abomination","abominação","e0a4",
"","about","cerca de","e11b",
"","above","acima de","e110",
"","Abraham","Abraâo","e373",
"","Abyss","Abismo","ec4e",
"","according_to","de acordo com","e24d",
"","accuse","acusar","e055",
"","Achaia","Acaia","eb7c",
"","Achaicus","Acaico","eca5",
"","Achim","Aquim","ea6e",
"","Adam","Adão","ec4f",
"","Addi","Adi","ec50",
"","Admin","Admin","ec51",
"","adopt","adotar","e177",
"","adoption","adoção","e177",
"","Adramyttium","Adramitino","eb93",
"","Adriatic_Sea","Mar_Adriático","ec17",
"","adultery","Adultério","e027",
"","Aeneas","Eneias","ec2a",
"","Aenon","Enom","eba1",
"","afraid","com medo","e056",
"","after","depois de","e11d",
"","Agabus","Ágabo","eb89",
"","against","contra","e330",
"","Agrippa","Agripa","eb9d",
"","Ahaz","Acaz","ea61",
"","air","ar ","e312",
"","alabaster","alabastro","e0d4",
"","Alexander","Alexander","ea14",
"","Alexandria","Alexandria","eb5a",
"","alive","vivo","e09f",
"","all","todos","e251",
"","allow","permitir","e04a",
"","alone","sozinho","e223",
"","Alphaeus","Alfeu"," ec24    ",
"","altar","altar","ea3c",
"","always","sempre","e252",
"","amazed","pasmados","e14a",
"","amazing","assombroso","e14a",
" ","ambassador","embaixador","ebfd",
"","amen","Amém","e100",
"","Amminadab","Aminadabe","ea51",
"","Amon","Amom","ea64",
"","Amos","Amós","ec47",
"","Amphipolis","Anfípolis","eb2e",
"","Ampliatus","Ampliatus","ebb9",
"","Ananias","Ananias","eb65",
"","ancestor","antepassado","ec80",
"","and","e ","e11c",
"","Andrew","André","e357",
"","Andronicus","Andrônico","ebba",
"","angel","anjo","e0a7",
"","anger","raiva","e204",
"","angry","bravo","e204",
"","animal","animal","e102",
"","Anna","Anás","eb02",
"","Annas","Anás","eb63",
"","anointed","ungido","e033",
"","another","mais um","ebf2",
"","Antichrist","Anticristo","ed0e",
"","Antioch","Antioquia","eb58",
"","Antipas","Antipas","ec01",
"","Antipatris","Antipátride","eb9a",
"","Apelles","Apeles"," ebbb    ",
"","Apollonia           ","Apolonia","eb30",
"","Apollos","Apolo","eb3e",
"","apostle","apóstolo","ebef",
"","appear","aparecer","e162",
"","Apphia","Áfia","ecf1",
"","appointed","nomeado","e041",
"","Appolyon","Appolyon","ecd7",
"","Aquila","Áquila","eb17",
"","Arabia","Arábia","eb77",
"","Archippus","Arquipo","ece7",
"","Areopagus","Areopagus","ec35",
"","Aretas","Aretas","eca6",
"","argument","argumento","e057",
"","Arimathea","Arimateia","e34d",
"","arise","Levantar-se","e322",
"","Aristarchus","Aristarco","ec10",
"","Aristobulus","Aristóbulo","ebbc",
"","arm","braço","e14e",
"","armor","armaduras","ebbd",
"","army","exército","e148",
"","Arni","Arni","ec52",
"","around","ao redor","e31b",
"","Arphaxad","Arfaxade","ec53",
"","arrest","prender","e25f",
"","arrow","seta","ecbf",
"","Artemas","Ártemas","ec34",
"","Asa","Asa","ea5c",
"","ascend","ascender","e322",
"","ash","cinza","ea90",
"","ashamed","envergonhado","e05f",
"","Asher","Aser","ebde",
"","Ashhur               ","Terra de Aser","ebdd",
"","Asia","Ásia","eb6f",
"","ask","pergunta","e061",
"","Assos","Assôs","eb20",
"","assurance","certeza","e070",
"","Asyncritius","Asyncritius","ebbe",
"","Athens","Atenas","eb07",
"","Attalia","Atália","eb31",
"","attendant","assitente","e150",
"","author ","autor","e12c",
"","authority","autoridade","e034",
"","avenge","Vingar-se","ed0c",
"","awake","desperto","ec54",
"","away","longe","e11e",
"","Azor","Azor","ea6c",
"","Azotus","Azoto","eb7e",
"","Baal","Baal","ebbf",
"","baby","bebê","e0a6",
"","Babylon","Babilônia","ea67",
